,Lp.,Przystanek
1,11 LISTOPADA 01  ,TAK
2,11 LISTOPADA 02  ,TAK
3,17 STYCZNIA 01  ,TAK
4,17 STYCZNIA 02  ,TAK
5,17 STYCZNIA 04  ,NIE
6,1. PRASKIEGO PUŁKU 01  ,NIE
7,1. PRASKIEGO PUŁKU 02  ,TAK
8,1. PRASKIEGO PUŁKU 03  ,TAK
9,1. PRASKIEGO PUŁKU 04  ,TAK
10,1 SIERPNIA 01  ,TAK
11,1 SIERPNIA 02  ,TAK
12,1 SIERPNIA 03  ,TAK
13,22 LIPCA 02,NIE
14,3 MAJA 01,NIE
15,3 MAJA 01  ,NIE
16,3 MAJA 01  ,TAK
17,3 MAJA 01  ,NIE
18,3 MAJA 02  ,NIE
19,3 MAJA 02  ,NIE
20,3 MAJA 02  ,NIE
21,ŻABIENIEC 02  ,NIE
22,ŁABISZYŃSKA 01  ,NIE
23,ŁABISZYŃSKA 02  ,NIE
24,ŁABISZYŃSKA 03  ,NIE
25,ABRAHAMA 01  ,NIE
26,ABRAHAMA 02  ,NIE
27,ABRAHAMA 03  ,NIE
28,ABRAHAMA 04  ,NIE
29,ADAMIECKIEGO 01  ,NIE
30,ADAMIECKIEGO 02  ,NIE
31,ADAMPOLSKA 01  ,NIE
32,ADAMPOLSKA 02  ,NIE
33,ŁADY 01  ,NIE
34,ŁADY 02  ,NIE
35,ŁADY-SZKOŁA 01  ,NIE
36,ŁADY-SZKOŁA 02  ,NIE
37,AFRYKAŃSKA 01  ,NIE
38,AFRYKAŃSKA 02  ,NIE
39,AGATOWA 02  ,NIE
40,ŁAGIEWNICKA 01  ,NIE
41,ŁAGIEWNICKA 02  ,NIE
42,AGRICOOP 01  ,NIE
43,AGRYKOLA 01  ,NIE
44,AGRYKOLA 02  ,NIE
45,AKADEMIJNA 01  ,NIE
46,AKCENT 01  ,NIE
47,AKCENT 02  ,NIE
48,AL. 3 MAJA 01  ,NIE
49,AL. 3 MAJA 02  ,NIE
50,AL.BOHATERÓW WRZE©NIA 01  ,NIE
51,ALEKSANDRÓW 01  ,NIE
52,ALEKSANDRÓW 01  ,NIE
53,ALEKSANDRÓW 02  ,NIE
54,AL.JANA PAWŁA II 01  ,NIE
55,AL.JANA PAWŁA II 02  ,NIE
56,AL.JEDNO©CI 01,NIE
57,AL.JEDNO©CI 02,NIE
58,AL.KRAKOWSKA 01,NIE
59,AL.KRAKOWSKA 02,NIE
60,AL.LOTNIKÓW 01  ,NIE
61,AL.LOTNIKÓW 02  ,NIE
62,AL.LOTNIKÓW 04  ,NIE
63,AL.LOTNIKÓW 05  ,NIE
64,AL.LOTNIKÓW 06  ,NIE
65,AL.LOTNIKÓW 07  ,NIE
66,AL.LOTNIKÓW 08  ,NIE
67,AL.PIŁSUDSKIEGO 01  ,NIE
68,AL.PIŁSUDSKIEGO 02  ,NIE
69,AL.PIŁSUDSKIEGO 02  ,NIE
70,AL.REYMONTA 01  ,NIE
71,AL.REYMONTA 03  ,NIE
72,AL.REYMONTA 04  ,NIE
73,AL.REYMONTA 05  ,NIE
74,AL.REYMONTA 06  ,NIE
75,AL.REYMONTA 08  ,NIE
76,AL.SOLIDARNO©CI 01  ,NIE
77,AL.SYBIRAKÓW 01  ,NIE
78,AL.SYBIRAKÓW 02  ,NIE
79,ALUZYJNA 01  ,TAK
80,ALUZYJNA 02  ,TAK
81,ALUZYJNA 03  ,TAK
82,AL.WIELKOPOLSKI 01  ,NIE
83,AL.WIELKOPOLSKI 02  ,NIE
84,AL.WITOSA 01  ,NIE
85,AL.WITOSA 02  ,NIE
86,AL.WITOSA 03  ,NIE
87,AL.WITOSA 04  ,NIE
88,AL.WOJSKA POLSKIEGO 01  ,NIE
89,AL.WOJSKA POLSKIEGO 01  ,NIE
90,AL.WOJSKA POLSKIEGO 02  ,NIE
91,AL.WOJSKA POLSKIEGO 02  ,NIE
92,AL.ZIELENIECKA 01  ,NIE
93,AL.ZIELENIECKA 02  ,NIE
94,AL.ZIELENIECKA 03  ,NIE
95,AL.ZIELENIECKA 04  ,NIE
96,AL.ZIELENIECKA 05  ,NIE
97,AL.ZIELENIECKA 06  ,NIE
98,AL.ZIELENIECKA 07  ,NIE
99,AL.ZIELENIECKA 08  ,NIE
100,AL.ZIELENIECKA 09  ,NIE
101,AMBARAS 01  ,NIE
102,AMBARAS 02  ,NIE
103,ANANASOWA 02  ,NIE
104,ŻANĘCIN 02  ,NIE
105,ANDERSENA 01  ,NIE
106,ANDERSENA 02  ,NIE
107,ANDRUTOWA 01  ,NIE
108,ANDRUTOWA 02  ,NIE
109,ANDRUTOWA 03  ,NIE
110,ANIELEWICZA 01  ,NIE
111,ANIELEWICZA 02  ,NIE
112,ANIELEWICZA 03  ,NIE
113,ANIELEWICZA 04  ,NIE
114,ANIELEWICZA 05  ,NIE
115,ANIELEWICZA 06  ,NIE
116,ANNOPOL 01  ,NIE
117,ANNOPOL 02  ,NIE
118,ANNOPOL 03  ,NIE
119,ANNY JAGIELLONKI 01  ,NIE
120,ANNY JAGIELLONKI 02  ,NIE
121,ŁANOWA 01  ,NIE
122,ŁANOWA 02  ,NIE
123,ANTKA ROZPYLACZA 01  ,NIE
124,ANTKA ROZPYLACZA 02  ,NIE
125,ANTONIEWSKA 01  ,NIE
126,ANTONIEWSKA 02  ,NIE
127,ANUSINEK 01  ,NIE
128,ANUSINEK 02  ,NIE
129,ARBUZOWA 01  ,NIE
